,region_name,district_name,kanton_name
343,Mägenwil,Baden,Aargau
344,Genthod,Canton de Genève,Genève
345,Lignières,Neuchâtel,Neuchâtel
346,Innerthal,March,Schwyz
347,Engelberg,Kanton Obwalden,Obwalden
348,Nidau,Biel/Bienne,Bern / Berne
349,Dintikon,Lenzburg,Aargau
350,Rohrbachgraben,Oberaargau,Bern / Berne
351,Wagenhausen,Frauenfeld,Thurgau
352,Vouvry,Monthey,Valais / Wallis
353,Henniez,Broye-Vully,Vaud
354,Provence,Jura-Nord vaudois,Vaud
355,Denges,Morges,Vaud
356,Altnau,Kreuzlingen,Thurgau
357,Biel-Benken,Arlesheim,Basel-Landschaft
358,Häutligen,Appenzell Ausserrhoden,Bern / Berne
359,Bonstetten,Affoltern,Zürich
360,Montilliez,Gros-de-Vaud,Vaud
361,Küblis,Prättigau-Davos,Graubünden / Grigioni / Grischun
362,Courrendlin,Delémont,Jura
363,Mönthal,Brugg,Aargau
364,Elsau,Winterthur,Zürich
365,Konolfingen,Appenzell Ausserrhoden,Bern / Berne
366,Linden,Appenzell Ausserrhoden,Bern / Berne
367,Corgémont,Jura bernois,Bern / Berne
368,Oppens,Gros-de-Vaud,Vaud
369,Full-Reuenthal,Zurzach,Aargau
370,Jouxtens-Mézery,Lausanne,Vaud
371,Laufenburg,Laufenburg,Aargau
372,Berolle,Morges,Vaud
373,Steinen,Schwyz,Schwyz
374,Oberägeri,Kanton Zug,Zug
375,Paudex,Lavaux-Oron,Vaud
376,Landiswil,Appenzell Ausserrhoden,Bern / Berne
377,Wiesendangen,Winterthur,Zürich
378,Maracon,Lavaux-Oron,Vaud
379,Waldenburg,Waldenburg,Basel-Landschaft
380,Lutry,Lavaux-Oron,Vaud
381,Siglistorf,Zurzach,Aargau
382,Dornach,Dorneck,Solothurn
383,Oberwil-Lieli,Bremgarten,Aargau
384,Boltigen,Obersimmental-Saanen,Bern / Berne
385,Madiswil,Oberaargau,Bern / Berne
386,Walterswil (BE),Oberaargau,Bern / Berne
387,Nyon,Nyon,Vaud
388,Wolfenschiessen,Kanton Nidwalden,Nidwalden
389,Ecublens (VD),Ouest lausannois,Vaud
390,Zufikon,Bremgarten,Aargau
391,Allaman,Morges,Vaud
392,Oberwil bei Büren,Seeland,Bern / Berne
393,Montagny-près-Yverdon,Jura-Nord vaudois,Vaud
394,Heiligenschwendi,Thun,Bern / Berne
395,Melano,Lugano,Ticino
396,Aclens,Morges,Vaud
397,Ormont-Dessous,Aigle,Vaud
398,Alberswil,Willisau,Luzern
399,Ursins,Jura-Nord vaudois,Vaud
400,Concise,Jura-Nord vaudois,Vaud
401,Oberdiessbach,Appenzell Ausserrhoden,Bern / Berne
402,Niederbipp,Oberaargau,Bern / Berne
403,Tägerwilen,Kreuzlingen,Thurgau
404,Givisiez,La Sarine,Fribourg / Freiburg
405,Nods,Jura bernois,Bern / Berne
406,Bargen (BE),Seeland,Bern / Berne
407,Bannwil,Oberaargau,Bern / Berne
408,Hundwil,Appenzell Ausserrhoden,Appenzell Ausserrhoden
409,Büttikon,Bremgarten,Aargau
410,Baulmes,Jura-Nord vaudois,Vaud
411,Oron,Lavaux-Oron,Vaud
412,La Chaux (Cossonay),Morges,Vaud
413,Grabs,Werdenberg,St. Gallen
414,Greifensee,Uster,Zürich
415,Fideris,Prättigau-Davos,Graubünden / Grigioni / Grischun
416,Gipf-Oberfrick,Laufenburg,Aargau
417,Fully,Martigny,Valais / Wallis
418,Tenero-Contra,Locarno,Ticino
419,Silenen,Kanton Uri,Uri
420,Neunkirch,Oberklettgau,Schaffhausen
421,Rüeggisberg,Appenzell Ausserrhoden,Bern / Berne
422,Blonay,Riviera-Pays-d'Enhaut,Vaud
423,Ennetmoos,Kanton Nidwalden,Nidwalden
424,Bassins,Nyon,Vaud
425,Luthern,Willisau,Luzern
426,Beinwil am See,Kulm,Aargau
427,Birmensdorf (ZH),Dietikon,Zürich
428,Tamins,Imboden,Graubünden / Grigioni / Grischun
429,Sessa,Lugano,Ticino
430,Rümlang,Dielsdorf,Zürich
431,Mellingen,Baden,Aargau
432,Ottenbach,Affoltern,Zürich
433,Mex (VD),Gros-de-Vaud,Vaud
434,Semsales,La Veveyse,Fribourg / Freiburg
435,Ponte Capriasca,Lugano,Ticino
436,Horrenbach-Buchen,Thun,Bern / Berne
437,Maroggia,Lugano,Ticino
438,Treytorrens (Payerne),Broye-Vully,Vaud
439,Chalais,Sierre,Valais / Wallis
440,Orsières,Entremont,Valais / Wallis
441,Grono,Moesa,Graubünden / Grigioni / Grischun
442,Reichenburg,March,Schwyz
443,Stabio,Mendrisio,Ticino
444,Riva San Vitale,Mendrisio,Ticino
445,Wasterkingen,Bülach,Zürich
446,Veysonnaz,Sion,Valais / Wallis
447,Bülach,Bülach,Zürich
448,Surpierre,La Broye,Fribourg / Freiburg
449,Reiden,Willisau,Luzern
450,Safiental,Surselva,Graubünden / Grigioni / Grischun
451,Pailly,Gros-de-Vaud,Vaud
452,Ittigen,Appenzell Ausserrhoden,Bern / Berne
453,Premier,Jura-Nord vaudois,Vaud
454,Grindelwald,Interlaken-Oberhasli,Bern / Berne
455,Wangen (SZ),March,Schwyz
456,Niederglatt,Dielsdorf,Zürich
457,Therwil,Arlesheim,Basel-Landschaft
458,Péry-La Heutte,Jura bernois,Bern / Berne
459,Kippel,Raron,Valais / Wallis
460,Chavannes-sur-Moudon,Broye-Vully,Vaud
461,La Chaux-de-Fonds,La Chaux-de-Fonds,Neuchâtel
462,Wohlen bei Bern,Appenzell Ausserrhoden,Bern / Berne
463,Däniken,Olten,Solothurn
464,Zeglingen,Sissach,Basel-Landschaft
465,Recherswil,Wasseramt,Solothurn
466,Novazzano,Mendrisio,Ticino
467,Renens (VD),Ouest lausannois,Vaud
468,Crésuz,La Gruyère,Fribourg / Freiburg
469,Pfäfers,Sarganserland,St. Gallen
470,Attinghausen,Kanton Uri,Uri
471,Steg-Hohtenn,Raron,Valais / Wallis
472,Hauptwil-Gottshaus,Weinfelden,Thurgau
473,Hemberg,Toggenburg,St. Gallen
474,Bossonnens,La Veveyse,Fribourg / Freiburg
475,Fontenais,Porrentruy,Jura
476,Choulex,Canton de Genève,Genève
477,Spiez,Frutigen-Niedersimmental,Bern / Berne
478,Lucens,Broye-Vully,Vaud
479,Villars-sur-Glâne,La Sarine,Fribourg / Freiburg
480,Frutigen,Frutigen-Niedersimmental,Bern / Berne
481,Oensingen,Gäu,Solothurn
482,Crassier,Nyon,Vaud
483,Interlaken,Interlaken-Oberhasli,Bern / Berne
484,Morges,Morges,Vaud
485,Kerzers,See / Lac,Fribourg / Freiburg
486,Bellach,Lebern,Solothurn
487,Gächlingen,Oberklettgau,Schaffhausen
488,Ausserberg,Raron,Valais / Wallis
489,Altdorf (UR),Kanton Uri,Uri
490,Wynau,Oberaargau,Bern / Berne
491,Härkingen,Gäu,Solothurn
492,Steckborn,Frauenfeld,Thurgau
493,Rüttenen,Lebern,Solothurn
494,Wünnewil-Flamatt,Sense,Fribourg / Freiburg
495,Münsingen,Appenzell Ausserrhoden,Bern / Berne
496,Neuchâtel,Neuchâtel,Neuchâtel
497,Lauerz,Schwyz,Schwyz
498,Biberstein,Aarau,Aargau
499,Frenkendorf,Liestal,Basel-Landschaft
500,Suhr,Aarau,Aargau
501,Hölstein,Waldenburg,Basel-Landschaft
502,Riddes,Martigny,Valais / Wallis
503,Forel (Lavaux),Lavaux-Oron,Vaud
504,Agiez,Jura-Nord vaudois,Vaud
505,Altendorf,March,Schwyz
506,Yvorne,Aigle,Vaud
507,Buus,Sissach,Basel-Landschaft
508,Wald (BE),Appenzell Ausserrhoden,Bern / Berne
509,Zuzwil (SG),Wil,St. Gallen
510,Valbirse,Jura bernois,Bern / Berne
511,Hornussen,Laufenburg,Aargau
512,Rennaz,Aigle,Vaud
513,Horriwil,Wasseramt,Solothurn
514,Dürrenäsch,Kulm,Aargau
515,Morcote,Lugano,Ticino
516,Reutigen,Thun,Bern / Berne
517,Lohn-Ammannsegg,Wasseramt,Solothurn
518,Vuiteboeuf,Jura-Nord vaudois,Vaud
519,Bas-Intyamon,La Gruyère,Fribourg / Freiburg
520,Mümliswil-Ramiswil,Thal,Solothurn
521,Eggenwil,Bremgarten,Aargau
522,Schluein,Surselva,Graubünden / Grigioni / Grischun
523,Diemtigen,Frutigen-Niedersimmental,Bern / Berne
524,Salenstein,Kreuzlingen,Thurgau
525,Marly,La Sarine,Fribourg / Freiburg
526,Küssnacht (SZ),Küssnacht (SZ),Schwyz
527,Murten,See / Lac,Fribourg / Freiburg
528,Luzein,Prättigau-Davos,Graubünden / Grigioni / Grischun
529,Rüegsau,Emmental,Bern / Berne
530,Teufen (AR),Appenzell Ausserrhoden,Appenzell Ausserrhoden
531,Chevroux,Broye-Vully,Vaud
532,Cormoret,Jura bernois,Bern / Berne
533,Unterkulm,Kulm,Aargau
534,Zäziwil,Appenzell Ausserrhoden,Bern / Berne
535,Arisdorf,Liestal,Basel-Landschaft
536,Lussery-Villars,Gros-de-Vaud,Vaud
537,Thalheim (AG),Brugg,Aargau
538,Ebikon,Luzern-Land,Luzern
539,Chur,Plessur,Graubünden / Grigioni / Grischun
540,Bättwil,Dorneck,Solothurn
541,Neyruz (FR),La Sarine,Fribourg / Freiburg
542,Naters,Brig,Valais / Wallis
