,percentage_population_in_detached_houses,population,population_per_km2,percentage_detached_houses,percentage_flats_3to4_rooms,taxable_income_in_mio_CHF,taxable_income_per_taxable_person_in_chf,share_electric_cars,share_pv,share_renewable_heating,Heating data coverage,mean_electricity_tarif_2021_rp_per_kwh,% Ja,% participation,vote_accepted,temp_mean,pv_out_mea,NUMPOINTS,permanent_resident_population_%,swiss_citizen_%,foreign_citizen_%,age_0to14_%,age_15to19_%,age_20to39_%,age_40to59_%,age_60to64_%,age_65tomore_%,men_%
607,18.75,656,121.0332103,31.81818182,53.16455696,15.3202,61280.8,0.00249,0.05351,0.539,0.4688,22.19966667,48.49,62.28,0,7.68705886307885,3.18657882185543,30,0.9237804878048781,0.9024390243902439,0.021341463414634148,0.1448170731707317,0.056402439024390245,0.22560975609756098,0.3048780487804878,0.05945121951219512,0.1326219512195122,0.4451219512195122
608,38.03042434,1259,273.1019523,56.60377358,44.17549168,34.534,70621.67689,0.01536,0.06663999999999999,0.5161,0.9724,15.36733333,47.98,65.23,0,10.094920603434199,3.25828254336402,17,0.8641779189833201,0.7823669579030977,0.0818109610802224,0.11834789515488484,0.04527402700555997,0.20889594916600476,0.2779984114376489,0.06274821286735505,0.15091342335186655,0.4384432088959492
609,23.27744603,8689,1361.912226,56.36758321,51.69245648,347.5059,90567.08366,0.01656,0.0166,0.17800000000000002,0.8656,14.93533333,55.41,59.46,1,10.5591346392265,3.25743268430233,36,0.961675681896651,0.7464610426976637,0.21521463919898723,0.16077799516630223,0.04649556911036943,0.23063643687420876,0.2912878351939234,0.05294049948210381,0.17953734606974336,0.4708251812636667
610,29.05785124,3018,207.565337,42.45880862,55.7486631,62.5359,55985.58639,0.006409999999999999,0.03947,0.3836,0.9768,22.19966667,48.49,62.28,0,8.08033125494331,3.26390683428841,42,0.9493041749502982,0.9151756129887343,0.03412856196156395,0.15341285619615638,0.06328694499668655,0.20609675281643472,0.28926441351888665,0.06394963552021206,0.1732935719019218,0.4546056991385023
611,40.42838019,744,55.35714286,57.90960452,73.17290553,18.8912,44241.68618,0.03104,0.07362,0.1983,0.9751,16.46433333,39.09,59.39,0,1.02688679085025,3.4778726415814103,3,0.9919354838709677,0.9502688172043011,0.041666666666666664,0.12365591397849462,0.05913978494623656,0.21370967741935484,0.3131720430107527,0.06989247311827956,0.21236559139784947,0.4959677419354839
612,20.41492888,18640,1327.6353279999996,57.10823910000001,64.59044369,656.0476,80595.52826,0.01326,0.02898,0.2239,0.9408,15.48666667,55.41,59.46,1,10.5591346392265,3.25743268430233,36,0.9944206008583691,0.7503218884120172,0.24409871244635192,0.16850858369098712,0.05332618025751073,0.2607296137339056,0.3106223175965665,0.05118025751072961,0.15005364806866953,0.49817596566523603
613,37.22397476,315,80.97686375,53.75,52.81690141,8.9224,78959.29204,0.0093,0.02617,0.3659,1.0,19.005,53.16,57.49,1,10.2283820094101,3.5568143246344603,24,0.9111111111111111,0.8095238095238095,0.10158730158730159,0.1873015873015873,0.050793650793650794,0.2126984126984127,0.3238095238095238,0.03492063492063492,0.10158730158730159,0.4158730158730159
614,33.48163213,7809,1679.354839,65.6906429,53.94504663,217.2015,64778.25828,0.01015,0.06077000000000001,0.3636,0.9485,13.76533333,42.88,59.59,0,9.95123965287011,3.25971073946677,20,0.9448072736585991,0.6117300550646689,0.3330772185939301,0.13356383659879625,0.05468049686259444,0.26238955051863233,0.27698809066461777,0.051479062620053785,0.16570623639390447,0.4747086694839288
615,57.82540512,9453,21.98218729,76.89743087,49.73043858,251.8607,57713.26764,0.00921,0.01766,0.5372,0.6853,17.95244444,39.93,59.46,0,3.4461734753646898,2.97097789288378,29,1.022003596741775,0.8369829683698297,0.1850206283719454,0.11509573680313129,0.05627843012800169,0.2242674283296308,0.3102718713635883,0.0806093303713107,0.23548079974611236,0.5252300856870835
616,28.07354785,11861,1070.487365,54.95008319,57.70787917,403.2619,69635.96961,0.00922,0.03248,0.158,0.9702,18.96633333,44.03,59.02,0,10.195000044504802,3.22416249712308,24,0.9684680886940393,0.784925385717899,0.18354270297614028,0.12983728184807353,0.04013152348031363,0.2901947559227721,0.27147795295506283,0.05176629289267347,0.18506028159514376,0.4761824466739735
